name,organizer,category,prefecture,city,address,venue,schedule_text,schedule_rule,opening_hours,entry_fee,is_free_entry,has_food,has_parking,access_text,nearest_station,walk_min,highlights,notes,official_url,latitude,longitude,verified_at,extra_dates
代々木公園フリーマーケット,東京スウェーデン倶楽部,オールジャンル,東京都,渋谷区,代々木公園内 B区画,代々木公園,毎月第1・3日曜日,monthly:1sun,3sun,9:00〜16:00,無料,TRUE,TRUE,FALSE,JR原宿駅・地下鉄代々木公園駅から徒歩5分,原宿駅,5,"東京最大級のフリーマーケット。毎回500〜600店が出店。衣類・雑貨・骨董・食品など幅広いジャンル。家族連れにも人気のイベント。",雨天中止。公式サイトで開催確認を。,,35.6714,139.6948,2026-01-15
万博記念公園フリーマーケット,フリマnetwork,オールジャンル,大阪府,吹田市,万博記念公園内,万博記念公園（お祭り広場）,毎月第3土・日曜日,monthly:3sat,3sun,10:00〜16:00,無料,TRUE,TRUE,TRUE,大阪モノレール万博記念公園駅から徒歩5分,万博記念公園駅,5,"関西最大級のフリーマーケット。毎回1000店以上が出店。太陽の塔を望む広大な公園で開催。飲食ブースも充実。",荒天中止。場内駐車場あり（有料）。,,34.8059,135.5260,2026-01-20
神戸メリケンパークフリーマーケット,神戸観光局,雑貨・衣類,兵庫県,神戸市中央区,波止場町2番,メリケンパーク,毎月第2日曜日,monthly:2sun,10:00〜16:00,無料,TRUE,TRUE,TRUE,JR・阪神元町駅から徒歩15分。ポートライナー貿易センター駅から徒歩10分。,貿易センター駅,10,"神戸港を一望できるメリケンパークで開催。洋風の雰囲気の中で雑貨・衣類・アンティークなどを楽しめる。デートや家族おでかけにも人気のスポット。",荒天中止。海辺なので風対策を。,,34.6872,135.1854,2026-01-18
つくばクラフトマーケット,つくば市,ハンドメイド・クラフト,茨城県,つくば市,竹園1丁目1番1号,つくばセンター広場,年数回（春・夏・秋）,irregular,10:00〜17:00,無料,TRUE,FALSE,TRUE,つくばエクスプレス つくば駅から徒歩3分,つくば駅,3,"研究学園都市・つくばで開催されるクラフトマーケット。地域のクリエイターによるハンドメイドアクセサリー・陶芸・テキスタイルなどが揃う。家族連れも楽しめる。",開催日程は公式サイトで確認。,,36.0823,140.1118,2026-01-09
フリーマーケット in 中島公園,リサイクル運動市民の会北海道本部,オールジャンル,北海道,札幌市中央区,北海道札幌市中央区中島公園1,中島公園自由広場,4月〜10月の土日祝に月数回開催,,10:00〜13:30,無料,TRUE,FALSE,FALSE,地下鉄南北線中島公園駅から徒歩3分,中島公園駅,3,150区画規模の大型フリマ。日用品・衣類・雑貨など幅広いジャンルが出店,雨天中止。4月〜10月のみ開催,https://www.recyclefmd.gr.jp/,43.0468,141.3563,2026-01-15
えべつ・フリーマーケット,日本リサイクルネットワーク・えべつ,オールジャンル,北海道,江別市,北海道江別市高砂町11-10,江別市民体育館周辺,5月〜10月の日曜に月1〜2回開催,,9:00〜13:00,無料,TRUE,FALSE,TRUE,JR函館本線江別駅から車で10分,江別駅,15,アマチュア出店限定の地域密着型フリマ,雨天中止。出店はアマチュアの方のみ,https://www.city.ebetsu.hokkaido.jp/site/gomi/46986.html,43.1036,141.5361,2026-01-15
追手門広場フリースタイルマーケット,弘前観光コンベンション協会,オールジャンル,青森県,弘前市,青森県弘前市下白銀町2-1,追手門広場,5月・6月・9月・10月の日曜に各1回開催,,10:00〜15:00,無料,TRUE,TRUE,FALSE,弘前駅より土手町循環100円バス「市役所前」下車,弘前駅,20,"弘前城近くの広場で手作り雑貨やアートリサイクル品が並ぶ。約60ブース規模",雨天時は翌週に延期,https://www.hirosaki-kanko.or.jp/edit.html?id=freestylemarket,40.6071,140.4640,2026-01-15
北上展勝地フリーマーケット,北上観光コンベンション協会,オールジャンル,岩手県,北上市,岩手県北上市立花14-21-1,展勝地レストハウス前駐車場,春・秋に年数回開催,,10:00〜15:30,無料,TRUE,TRUE,TRUE,JR北上駅から徒歩20分または車で5分,北上駅,20,"桜の名所・展勝地で開催。30ブース以上の日用品フリマ。秋まつりと同時開催",雨天時はフリーマーケットのみ中止,https://kitakami-kanko.jp/,39.2803,141.1126,2026-01-15
だてなフリーマーケット in みどりの杜,みちのくフリーマーケット協会,オールジャンル,宮城県,仙台市若林区,宮城県仙台市若林区荒井字切新田13-1,せんだい農業園芸センター みどりの杜,3月〜11月の土日に月2〜4回開催,,9:00〜14:00,無料,TRUE,TRUE,TRUE,地下鉄東西線荒井駅から徒歩10分,荒井駅,10,"農業園芸センター内の緑豊かな環境で開催。駐車場160台無料",月曜休園（祝日の場合は翌平日）,https://michinoku.info/,38.2474,140.9569,2026-01-15
遊学舎フリーマーケット,NPO法人あきたパートナーシップ,オールジャンル,秋田県,秋田市,秋田県秋田市上北手荒巻堺切24-2,秋田県ゆとり生活創造センター遊学舎,毎月1回開催（通年）,,10:00〜14:00,無料,TRUE,FALSE,TRUE,秋田駅より車約15分,秋田駅,30,出店料無料の市民参加型フリマ。11月〜3月は室内（会議棟）で開催,11月〜3月は会議棟での開催。出店料無料,https://www.akita-kenmin.jp/yugakusha/,39.6868,140.1406,2026-01-15
霞城セントラル ニコニコフリーマーケット,霞城セントラル管理組合,雑貨・衣類,山形県,山形市,山形県山形市城南町1-1-1,霞城セントラル,毎月第2日曜日,,10:00〜15:00,無料,TRUE,FALSE,FALSE,JR山形駅西口直結徒歩1分,山形駅,1,山形駅直結の屋内フリマ。天候に左右されず毎月安定開催,屋内開催のため雨天でも開催,https://www.kajocentral.com/fleamarket/,38.2488,140.3270,2026-01-15
鏡石鹿嶋神社レトロ市＆フリーマーケット,鏡石鹿嶋神社,骨董・アンティーク,福島県,岩瀬郡鏡石町,福島県岩瀬郡鏡石町鹿島379,鏡石鹿嶋神社境内,2月〜10月の毎月第1日曜日,,9:00〜14:00,無料,TRUE,FALSE,TRUE,JR東北本線鏡石駅から徒歩15分,鏡石駅,15,神社境内で開催されるレトロ市。骨董品やアンティーク雑貨が中心,11月〜1月は休止,https://kagamiishi-kashima.or.jp/,37.2831,140.3442,2026-01-15
七里ヶ浜フリーマーケット,,オールジャンル,神奈川県,鎌倉市,神奈川県鎌倉市七里ガ浜東2-1-12,七里ヶ浜海浜駐車場,毎月第2・第4土日（8月休み・1〜3月は日曜のみ）,,9:00〜15:00,無料,TRUE,TRUE,TRUE,江ノ電七里ヶ浜駅から徒歩5分,七里ヶ浜駅,5,"江ノ島や富士山を望む海沿いのロケーションで約100店が出店。日本で一番海に近いフリマとして人気",荒天時は前日17時に開催可否を決定,https://shichiri-flea.bayside-shichiri.com/,35.3108,139.5048,2026-01-15
こどもの国たんぽぽフリーマーケット,,雑貨・衣類,神奈川県,横浜市青葉区,神奈川県横浜市青葉区奈良町700,こどもの国 中央広場,3月〜11月の日曜・祝日に不定期開催,,9:30〜16:00,無料（別途こどもの国入園料が必要）,FALSE,TRUE,TRUE,こどもの国線こどもの国駅から徒歩3分,こどもの国駅,3,"子ども服やおもちゃなど子ども関連の品物が中心。広大な公園内で家族で楽しめる","雨天中止。入園料が別途必要（大人600円・小中学生200円）",https://www.kodomonokuni.org/event_topics/detail.html?id=50,35.5617,139.4672,2026-01-15
越谷しらこばと水上公園フリーマーケット,,オールジャンル,埼玉県,越谷市,埼玉県越谷市小曽川985,しらこばと水上公園駐車場,月1〜2回の日曜・祝日に開催,,8:00〜15:00,無料,TRUE,FALSE,TRUE,東武スカイツリーライン越谷駅からバス「水上公園入口」下車,越谷駅,30,"車ごと出店できる県内最大級のフリマ。約200店が出店し「何でも揃う」と評判","駐車場1900台。営利目的・食品出店不可。公園内完全禁煙",https://fleamarket.or.jp/koshigaya.html,35.9028,139.7808,2026-01-15
川越水上公園フリーマーケット,,オールジャンル,埼玉県,川越市,埼玉県川越市大字池辺880,川越水上公園駐車場,月1回程度の土曜日に開催,,9:00〜15:00,無料,TRUE,FALSE,TRUE,関越道川越ICから約10分。JR川越線西川越駅から徒歩15分,西川越駅,15,県内有数の人気会場で近県からの来場者も多い。車出店が人気,詳細スケジュールは主催者により異なるため事前確認推奨,https://www.parks.or.jp/kawagoesuijo/guide/000/000129.html,35.8972,139.4706,2026-01-15
千葉deフリマ,,オールジャンル,千葉県,千葉市中央区,千葉県千葉市中央区中央港1,千葉ポートタワー前広場,毎月第1・第3日曜（7・8・1・2月休み）,,9:00〜15:00,無料,TRUE,TRUE,FALSE,JR京葉線千葉みなと駅から徒歩12分,千葉みなと駅,12,"千葉県内外から多くの来場者が集まる人気のフリマ。ポートタワーを背景にした開放的な雰囲気","雨天・強風で中止の場合あり。当日問い合わせは043-241-0125",https://chiba-porttower.com/fleamarket_tower.php,35.6081,140.0937,2026-01-15
いい街ちばフリーマーケット,,オールジャンル,千葉県,千葉市中央区,千葉県千葉市中央区中央2丁目〜3丁目,千葉銀座通り,毎月第4日曜（原則）,,10:00〜16:00,無料,TRUE,FALSE,FALSE,JR千葉駅から徒歩10分。京成千葉中央駅から徒歩7分,千葉中央駅,7,"毎回100店以上が出店。商店街を歩行者天国にして開催。骨董商や古着屋も出店。大道芸や和太鼓の同時開催も","10月は第3日曜の場合あり。雨天中止",https://www.chal.jp/furima/,35.6064,140.1214,2026-01-15
高崎もてなし広場フリーマーケット（高崎人情市）,NPO法人高崎やる気堂,オールジャンル,群馬県,高崎市,群馬県高崎市高松町1,もてなし広場,毎月第4日曜,,10:00〜15:00,無料,TRUE,TRUE,FALSE,JR高崎線高崎駅から徒歩12分,高崎駅,12,"70区画のフリマに加え生鮮食品・手づくり品の屋台やキッチンカーも登場。当日飛び込み出店も可能（先着・1区画2000円）","8時30分から当日出店受付。雨天時は中止の場合あり",https://ninjou.gunmablog.net/,36.3241,139.0109,2026-01-15
静岡護国神社蚤の市,葵市実行委員会,骨董・アンティーク,静岡県,静岡市,静岡県静岡市葵区柚木366,靜岡縣護國神社,毎月最終土曜・日曜,monthly_last_weekend,土曜9:00〜15:00・日曜9:00〜14:00,無料,TRUE,TRUE,TRUE,静鉄柚木駅から徒歩5分・JR東静岡駅から徒歩8分,柚木駅,5,"参道に約100店が並ぶ大規模骨董蚤の市。古陶磁・古布・古道具など多彩な品揃え",雨天決行・荒天中止,http://www.aoinet.org/ichi04.html,35.0012,138.3968,2026-01-15
NSTビッグフリーマーケット in 朱鷺メッセ,NST新潟総合テレビ,オールジャンル,新潟県,新潟市,新潟県新潟市中央区万代島6-1,朱鷺メッセ 展示ホール,毎年11月開催,yearly_november,10:00〜15:30（最終入場15:00）,100円,FALSE,TRUE,TRUE,新潟駅万代口からバス約15分「朱鷺メッセ」下車,新潟駅,20,"日本海側最大級の屋内フリマ。約400ブース出店。雑貨・洋服・ハンドメイドの2部門構成",全天候型屋内開催,https://www.tokimesse.com/,37.9268,139.0607,2026-01-15
石川護國神社蚤の市,,骨董・アンティーク,石川県,金沢市,石川県金沢市石引4-18-1,石川護國神社,毎月第2日曜日,monthly_2nd_sunday,8:00〜14:00,無料,TRUE,TRUE,TRUE,金沢駅から車で15分。バス「出羽町」下車徒歩2分,金沢駅,20,"九谷焼・加賀友禅の端切れ・輪島塗の漆器など石川ならではの伝統工芸品が並ぶ",2月は中止の場合あり,https://www.ishikawagokoku.or.jp/,36.5611,136.6683,2026-01-15
まつもと古市,,骨董・アンティーク,長野県,松本市,長野県松本市大手3-3-1,松本城大手門枡形跡広場,毎月開催（土日2日間）,monthly,10:00〜16:00,無料,TRUE,TRUE,FALSE,JR松本駅から徒歩10分,松本駅,10,"2015年から続く城下町の蚤の市。古道具・骨董・海外アンティーク・古着など幅広いジャンル",雨天中止の場合あり。公式Instagram要確認,http://matsumotofuruichi.com/,36.2380,137.9710,2026-01-15
甲府空中市（ソライチ）,山日YBS事業局,オールジャンル,山梨県,甲府市,山梨県甲府市北口2丁目,甲府駅北口ペデストリアンデッキ・よっちゃばれ広場,毎月第3日曜日,monthly_3rd_sunday,9:00〜15:00,無料,TRUE,TRUE,FALSE,JR甲府駅北口直結,甲府駅,1,"甲府駅地上6mの空中回廊で開催されるユニークなフリマ。野菜・果物・手作り雑貨・衣類など多彩","2013年開始で10年以上の歴史。出店料1000円〜",https://www.sannichi-ybs.co.jp/SP/events/soraichi,35.6688,138.5688,2026-01-15
げんきの郷フリーマーケット,JAあぐりタウンげんきの郷,オールジャンル,愛知県,大府市,愛知県大府市吉田町正右エ門新田1-1,JAあぐりタウンげんきの郷 ふれあい広場,毎月第1日曜日,monthly_1st_sunday,9:00〜14:00,無料,TRUE,TRUE,TRUE,JR大府駅から知多バス「げんきの郷」行き15分終点下車,大府駅,20,"屋根付き回廊で雨天でも開催。農産物直売所併設で新鮮野菜も購入可能",駐車場600台無料,https://agritown.co.jp/,34.9667,136.9533,2026-01-15
笠寺フリマクリマ,,オールジャンル,愛知県,名古屋市,愛知県名古屋市南区笠寺町上新町83,笠寺観音（笠覆寺）境内,毎月第3土曜日,monthly_3rd_saturday,10:00〜14:00,無料,TRUE,TRUE,FALSE,名鉄本笠寺駅から徒歩3分,本笠寺駅,3,"尾張四観音の一つ笠寺観音境内で開催。キッチンカー・子どもフリマ・音楽ライブも同時開催","雨天中止。出店料は売上の10%（最大500円）",https://www.facebook.com/events/kasadera/,35.1010,136.9267,2026-01-15
サンデービルヂングマーケット,柳ヶ瀬を楽しいまちにする株式会社,雑貨・衣類,岐阜県,岐阜市,岐阜県岐阜市柳ケ瀬通2丁目,柳ヶ瀬商店街,毎月第3日曜日,monthly_3rd_sunday,10:00〜16:00,無料,TRUE,TRUE,FALSE,JR岐阜駅から徒歩15分,岐阜駅,15,"2014年から続くレトロ商店街のマルシェ。約150店がアパレル・アンティーク・雑貨・フードを出店",偶数月は第1日曜にも開催,http://ysbmkt.com/,35.4219,136.7598,2026-01-15
小布施deフリマ,フリマネット信州,オールジャンル,長野県,小布施町,長野県上高井郡小布施町大島601,小布施ハイウェイオアシス・小布施町総合公園,5月・9月の第4日曜日,biannual_may_september,10:00〜15:00,無料,TRUE,TRUE,TRUE,上信越道小布施スマートICからすぐ,小布施駅,20,"長野県最大級のフリーマーケット。大型遊具・芝生広場もあり子育て世代に人気","駐車場600台無料。雨天中止",https://obusefurima.net/,36.6978,138.3128,2026-01-15
四天王寺骨董市（大師会・太子会）,四天王寺,骨董・アンティーク,大阪府,大阪市天王寺区,大阪府大阪市天王寺区四天王寺1-11-18,四天王寺境内,毎月21日・22日,monthly_21_22,9:00〜15:00,無料,TRUE,TRUE,FALSE,地下鉄谷町線「四天王寺前夕陽ヶ丘駅」4番出口から徒歩5分,四天王寺前夕陽ヶ丘駅,5,"関西最大級の骨董市。数百店が出店し食器・雑貨・衣類・着物・骨董品など幅広い品揃え。3月と9月は彼岸会に合わせて約1週間開催","雨天決行。駐車場なし",https://www.shitennoji.or.jp/event/index.html,34.6533,135.5167,2026-01-15
花博記念公園鶴見緑地フリーマーケット,日本スワップミート協会,オールジャンル,大阪府,大阪市鶴見区,大阪府大阪市鶴見区緑地公園2-163,花博記念公園鶴見緑地 ハナミズキホール,毎週末（土日祝）を中心に開催,weekly_weekend,10:00〜16:00,無料,TRUE,TRUE,TRUE,地下鉄長堀鶴見緑地線「鶴見緑地駅」下車すぐ,鶴見緑地駅,3,"大阪市内最大級のフリマ会場。複数の主催団体が週末を中心に頻繁に開催",雨天時は屋内会場で開催の場合あり,https://swapmeet.ne.jp/info/hanahaku/,34.7089,135.5764,2026-01-15
服部緑地フリーマーケット,日本ガレージセール協会,オールジャンル,大阪府,豊中市,大阪府豊中市服部緑地1-1,服部緑地公園 円形花壇,月2〜3回（土日祝）,irregular_weekend,10:00〜16:00,無料,TRUE,TRUE,TRUE,北大阪急行「緑地公園駅」下車徒歩5分,緑地公園駅,5,"広大な公園内の円形花壇で開催。約80〜150ブースが出店し手荷物・プロ・ハンドメイド出店が可能",雨天中止,https://garagesale.co.jp/venue/hattori_garagesale/,34.7744,135.4936,2026-01-15
北野天満宮 天神市,北野天満宮,骨董・アンティーク,京都府,京都市上京区,京都府京都市上京区御前通今出川上る馬喰町,北野天満宮境内,毎月25日,monthly_25,6:00〜16:00,無料,TRUE,TRUE,FALSE,京福北野線「北野白梅町駅」から徒歩6分。市バス「北野天満宮前」下車すぐ,北野白梅町駅,6,"約1000店が出店する京都を代表する骨董市。骨董品・古道具・衣類・食べ物など。1月25日は初天神・12月25日は終い天神として特に賑わう","雨天決行。毎月25日は駐車場利用不可",https://kitanotenmangu.or.jp/,35.0318,135.7352,2026-01-15
東寺がらくた市,東寺出店運営委員会,骨董・アンティーク,京都府,京都市南区,京都府京都市南区九条町1,東寺（教王護国寺）境内,毎月第1日曜日,monthly_1st_sun,5:00〜16:30,無料,TRUE,TRUE,FALSE,近鉄京都線「東寺駅」から徒歩10分。市バス「東寺東門前」下車すぐ,東寺駅,10,"約100店が出店する骨董・手づくり品の市。弘法市（21日）より小規模だが掘り出し物が見つかりやすいと人気",雨天決行,https://toji.or.jp/,34.9806,135.7478,2026-01-15
豊国神社おもしろ市,おもしろ市実行委員会,骨董・アンティーク,京都府,京都市東山区,京都府京都市東山区大和大路正面茶屋町530,豊国神社境内,毎月8日・18日・28日,monthly_8_18_28,10:00〜15:00,無料,TRUE,FALSE,FALSE,市バス「博物館三十三間堂前」下車徒歩5分,七条駅,10,"8日は古布・骨董、18日は手作り品、28日は手作りと手作り素材の市。毎回30〜50店舗が出店",雨天中止,http://www.omosiro1.com/,34.9913,135.7719,2026-01-15
サンシャインワーフ神戸フリーマーケット,フリマへGO!,オールジャンル,兵庫県,神戸市東灘区,兵庫県神戸市東灘区青木1-2-34,サンシャインワーフ神戸 サンシャインガーデン,月2〜3回（土日祝）,irregular_weekend,9:30〜15:00,無料,TRUE,TRUE,TRUE,阪神本線「青木駅」から徒歩10分,青木駅,10,"海沿いのリゾート施設で開催されるフリマ。無料駐車場完備で車でのアクセスも便利。平日水曜開催もあり",雨天中止の場合あり,https://www.sw-kobe.com/freemarket/,34.7153,135.2764,2026-01-15
姫路大手前公園フリーマーケット,NPO法人姫路自由市場交流会,オールジャンル,兵庫県,姫路市,兵庫県姫路市本町68,大手前公園,月1〜2回（土日祝）,irregular_weekend,10:00〜16:00,無料,TRUE,TRUE,FALSE,JR姫路駅から徒歩15分,姫路駅,15,"姫路城の目の前に位置する公園で開催。日用雑貨・衣類・手作り品・野菜果物など幅広い出品。猿まわし公演も随時開催",雨天中止,https://www.otemaepark.com/,34.8394,134.6939,2026-01-15
橿原運動公園フリーマーケット,フリマ大陸,オールジャンル,奈良県,橿原市,奈良県橿原市雲梯町323-2,橿原運動公園 まほろば広場,月1〜2回（日曜日）,irregular_sun,10:00〜15:00,無料,TRUE,TRUE,TRUE,近鉄橿原線「真菅駅」から徒歩15分,真菅駅,15,"奈良県最大級のフリマ会場。手荷物ブースと車ブースがあり大型出品も可能",雨天中止（少雨開催）,http://furimatairiku.jp/kasihara/index.html,34.5103,135.7772,2026-01-15
四日市市民公園フリーマーケット&マルシェ,フリマジャパン,オールジャンル,三重県,四日市市,三重県四日市市安島1-3,四日市市民公園,月1〜2回（日曜日）,irregular_sun,10:00〜15:00,無料,TRUE,TRUE,FALSE,近鉄四日市駅から徒歩3分,近鉄四日市駅,3,"駅近で好アクセスのフリマ会場。フリマブース・ハンドメイドマルシェ・キッチンカーが集合","雨天中止（小雨開催）",https://www.fmfm-king.com/,34.9667,136.6186,2026-01-15
琴ノ浦フリーマーケット,,オールジャンル,和歌山県,海南市,和歌山県海南市船尾370,温山荘公園敷地内,3月・5月・9月・11月の第2日曜日,quarterly_2nd_sun,8:00〜12:00,無料,TRUE,FALSE,TRUE,JRきのくに線「海南駅」から徒歩15分,海南駅,15,"国指定名勝の温山荘園に隣接する公園で開催。不用品のリユースを通じた資源有効利用が目的。無料駐車場約30台あり","雨天中止。年4回の開催",https://kotonouramarket.hp.peraichi.com/,34.1511,135.2056,2026-01-15
広島うじなみなとフリーマーケット,ひろしま・うじなみなとフリマプロジェクト,オールジャンル,広島県,広島市,広島県広島市南区宇品海岸2丁目23-22,宇品御幸松地区広場,毎月第2・第4日曜日,,8:00〜14:00,無料,TRUE,TRUE,TRUE,広島電鉄宇品線「元宇品口」電停から徒歩約10分,元宇品口,10,"海沿いの広場で開催される開放的なフリーマーケット。衣類・雑貨・手作り品など多彩な出店が並ぶ","8時前の近隣での車待機・徒歩入場禁止",https://humfp.net/,34.3614,132.4732,2026-01-15
SAEKIフリーマーケット,広島市佐伯区民文化センター,オールジャンル,広島県,広島市,広島県広島市佐伯区五日市中央6丁目1-10,佐伯区民文化センター,不定期（年数回）,,10:00〜16:00,無料,TRUE,FALSE,TRUE,広電バス「佐伯区民文化センター前」下車徒歩1分,五日市駅,15,"区民文化センターのロビー・ギャラリーを活用した屋内フリーマーケット",開催日は公式サイトで要確認,https://saekibc.com/,34.3711,132.3583,2026-01-15
山口フリーマーケット骨董市,山口フリーマーケット骨董市事務局,骨董・アンティーク,山口県,山口市,山口県山口市中河原町6,亀山公園ふれあい広場,毎月第1日曜日,,6:00〜15:00,無料,TRUE,TRUE,TRUE,JR山口線「山口駅」から徒歩約15分,山口駅,15,"1987年開始の歴史あるフリマ骨董市。出店数300超で日本最大規模。専門業者と一般参加のブースが並ぶ",雨天中止の場合あり,http://www.oidemase.com/schedule.html,34.1838,131.4753,2026-01-15
